big_question_id,big_question_name,section_id,section_name,discipline,thinker_slug,thinker_name_zh,thinker_name_en,birth_year,birth_year_num,death_year,death_year_num,nationality,is_anonymous,year_estimated,book_title_zh,book_title_en,is_coauthored,book_order,is_minimum_list,wikipedia_url
0,元典,0,人类文明十三经,中国经典,zhuang-zi,庄子,,约前369,-369,约前286,-286,中国,false,true,庄子,,false,1,false,https://zh.wikipedia.org/wiki/庄子
0,元典,0,人类文明十三经,中国经典,kong-zi,孔子,,前551,-551,前479,-479,中国,false,false,论语,,false,1,false,https://zh.wikipedia.org/wiki/孔子
0,元典,0,人类文明十三经,中国经典,lao-zi,老子,,约前571,-571,约前471,-471,中国,false,true,老子,,false,1,false,https://zh.wikipedia.org/wiki/老子
0,元典,0,人类文明十三经,中国经典,mo-zi,墨子,,前468,-468,前376,-376,中国,false,false,墨子,,false,1,false,https://zh.wikipedia.org/wiki/墨子
0,元典,0,人类文明十三经,中国经典,anonymous-zhouyi,作者不确定,,,-800,,,中国,true,true,周易,,false,1,false,
0,元典,0,人类文明十三经,中国经典,anonymous-shijing,集体作品,,,-800,,,中国,true,true,诗经,,false,1,false,
0,元典,0,人类文明十三经,古希腊经典,su-ge-la-di,苏格拉底,,前469,-469,前399,-399,古希腊,false,false,苏格拉底的申辩,,false,1,false,https://zh.wikipedia.org/wiki/苏格拉底
0,元典,0,人类文明十三经,古希腊经典,plato,柏拉图,,约前428,-428,约前347,-347,古希腊,false,true,理想国,,false,1,false,https://zh.wikipedia.org/wiki/柏拉图
0,元典,0,人类文明十三经,古希腊经典,ya-li-shi-duo-de,亚里士多德,,前384,-384,前322,-322,古希腊,false,false,形而上学,,false,1,false,https://zh.wikipedia.org/wiki/亚里士多德
0,元典,0,人类文明十三经,古希腊经典,yi-suo,伊索,,约前620,-620,前564,-564,古希腊,false,true,伊索寓言,,false,1,false,https://zh.wikipedia.org/wiki/伊索
0,元典,0,人类文明十三经,古印度经典,anonymous-gita,集体作品,,,-200,,,古印度,true,true,薄伽梵歌,,false,1,false,
0,元典,0,人类文明十三经,古印度经典,shi-jia-mu-ni,释迦牟尼,,前565,-565,前486,-486,古印度,false,false,阿含经,,false,1,false,https://zh.wikipedia.org/wiki/释迦牟尼
0,元典,0,人类文明十三经,古希伯来经典,anonymous-hebrew-bible,集体作品,,,-600,,,古希伯来,true,true,希伯来圣经,,false,1,false,
1,知识的知识,1.1,总论,哲学：认识论、知识论,francis-bacon,弗朗西斯·培根,Francis Bacon,1561,1561,1626,1626,英国,false,false,培根随笔,,false,1,false,https://zh.wikipedia.org/wiki/弗兰西斯·培根
1,知识的知识,1.1,总论,哲学：认识论、知识论,francis-bacon,弗朗西斯·培根,Francis Bacon,1561,1561,1626,1626,英国,false,false,新工具,,false,2,false,https://zh.wikipedia.org/wiki/弗兰西斯·培根
1,知识的知识,1.1,总论,哲学：认识论、知识论,francis-bacon,弗朗西斯·培根,Francis Bacon,1561,1561,1626,1626,英国,false,false,学术的进展,the advancement of learning,false,3,false,https://zh.wikipedia.org/wiki/弗兰西斯·培根
1,知识的知识,1.1,总论,哲学：认识论、知识论,rene-descartes,勒内·笛卡尔,René Descartes,1596,1596,1650,1650,法国,false,false,第一哲学沉思录,,false,1,true,https://zh.wikipedia.org/wiki/勒内·笛卡尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,rene-descartes,勒内·笛卡尔,René Descartes,1596,1596,1650,1650,法国,false,false,谈谈方法,,false,2,false,https://zh.wikipedia.org/wiki/勒内·笛卡尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,rene-descartes,勒内·笛卡尔,René Descartes,1596,1596,1650,1650,法国,false,false,哲学原理,,false,3,false,https://zh.wikipedia.org/wiki/勒内·笛卡尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,david-hume,大卫·休谟,David Hume,1711,1711,1776,1776,苏格兰,false,false,人性论,,false,1,false,https://zh.wikipedia.org/wiki/大卫·休谟
1,知识的知识,1.1,总论,哲学：认识论、知识论,david-hume,大卫·休谟,David Hume,1711,1711,1776,1776,苏格兰,false,false,人类理解研究,,false,2,false,https://zh.wikipedia.org/wiki/大卫·休谟
1,知识的知识,1.1,总论,哲学：认识论、知识论,david-hume,大卫·休谟,David Hume,1711,1711,1776,1776,苏格兰,false,false,休谟经典文存,,false,3,false,https://zh.wikipedia.org/wiki/大卫·休谟
1,知识的知识,1.1,总论,哲学：认识论、知识论,immanuel-kant,伊曼努尔·康德,Immanuel Kant,1724,1724,1804,1804,德国,false,false,纯粹理性批判,,false,1,false,https://zh.wikipedia.org/wiki/伊曼努尔·康德
1,知识的知识,1.1,总论,哲学：认识论、知识论,immanuel-kant,伊曼努尔·康德,Immanuel Kant,1724,1724,1804,1804,德国,false,false,实践理性批判,,false,2,false,https://zh.wikipedia.org/wiki/伊曼努尔·康德
1,知识的知识,1.1,总论,哲学：认识论、知识论,immanuel-kant,伊曼努尔·康德,Immanuel Kant,1724,1724,1804,1804,德国,false,false,判断力批判,,false,3,false,https://zh.wikipedia.org/wiki/伊曼努尔·康德
1,知识的知识,1.1,总论,哲学：认识论、知识论,edmund-husserl,埃德蒙·胡塞尔,Edmund Husserl,1859,1859,1938,1938,德国,false,false,逻辑研究,,false,1,false,https://zh.wikipedia.org/wiki/埃德蒙德·胡塞尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,edmund-husserl,埃德蒙·胡塞尔,Edmund Husserl,1859,1859,1938,1938,德国,false,false,现象学的观念,,false,2,false,https://zh.wikipedia.org/wiki/埃德蒙德·胡塞尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,edmund-husserl,埃德蒙·胡塞尔,Edmund Husserl,1859,1859,1938,1938,德国,false,false,第一哲学,,false,3,false,https://zh.wikipedia.org/wiki/埃德蒙德·胡塞尔
1,知识的知识,1.1,总论,哲学：认识论、知识论,ludwig-wittgenstein,路德维希·维特根斯坦,Ludwig Wittgenstein,1889,1889,1951,1951,英国,false,false,逻辑哲学论,,false,1,false,https://zh.wikipedia.org/wiki/路德维希·维特根斯坦
1,知识的知识,1.1,总论,哲学：认识论、知识论,ludwig-wittgenstein,路德维希·维特根斯坦,Ludwig Wittgenstein,1889,1889,1951,1951,英国,false,false,哲学研究,,false,2,false,https://zh.wikipedia.org/wiki/路德维希·维特根斯坦
1,知识的知识,1.1,总论,哲学：认识论、知识论,michael-polanyi,迈克尔·波兰尼,Michael Polanyi,1891,1891,1976,1976,英国,false,false,个人知识,,false,1,false,https://zh.wikipedia.org/wiki/迈克尔·波兰尼
1,知识的知识,1.1,总论,哲学：认识论、知识论,michael-polanyi,迈克尔·波兰尼,Michael Polanyi,1891,1891,1976,1976,英国,false,false,隐性维度,The Tacit Dimension,false,2,false,https://zh.wikipedia.org/wiki/迈克尔·波兰尼
1,知识的知识,1.1,总论,哲学：认识论、知识论,michael-polanyi,迈克尔·波兰尼,Michael Polanyi,1891,1891,1976,1976,英国,false,false,认知与存在,,false,3,false,https://zh.wikipedia.org/wiki/迈克尔·波兰尼
