from_slug,to_slug,type,note
plato,su-ge-la-di,extends,对话录记述并发展苏格拉底的思想
ya-li-shi-duo-de,plato,refutes,吾爱吾师吾更爱真理——批评理念论
zhuang-zi,lao-zi,extends,逍遥与齐物发挥老子的道
mo-zi,kong-zi,refutes,兼爱非攻反对儒家礼乐等差
zhuang-zi,kong-zi,refutes,讥刺仁义名教
rene-descartes,francis-bacon,refutes,唯理演绎对经验归纳
david-hume,rene-descartes,refutes,怀疑论瓦解天赋观念的确定性
immanuel-kant,david-hume,extends,被休谟唤醒后调和理性与经验
karl-popper,francis-bacon,refutes,证伪主义否定归纳法之途
thomas-s-kuhn,karl-popper,refutes,范式转换质疑证伪的理想图景
bertrand-arthur-william-russell,gottlob-frege,extends,逻辑主义纲领承自弗雷格
kurt-godel,bertrand-arthur-william-russell,refutes,不完备定理终结逻辑主义梦想
gottlob-frege,george-boole,extends,量词逻辑超越布尔代数
ludwig-wittgenstein,bertrand-arthur-william-russell,extends,逻辑原子论的起点与超越
albert-einstein,isaac-newton,refutes,相对论修正绝对时空
isaac-newton,rene-descartes,refutes,万有引力取代涡旋宇宙论
gregor-mendel,charles-darwin,extends,遗传定律补上自然选择的缺环
richard-dawkins,charles-darwin,extends,把自然选择下沉到基因视角
stephen-jay-gould,richard-dawkins,refutes,间断平衡与基因选择之争
ernst-w-mayr,charles-darwin,extends,现代综合论的奠基者之一
stephen-hawking,albert-einstein,extends,广义相对论推向宇宙起点与黑洞
daniel-c-dennett,charles-darwin,extends,达尔文思想是万能酸
john-dalton,robert-boyle,extends,原子论承接微粒哲学
si-ma-guang,sima-qian,extends,编年通鉴承继史记传统
liang-qichao,si-ma-guang,refutes,新史学批判帝王中心的旧史
qian-mu,fu-si-nian,refutes,义理传统对史料考订学派
yu-yingshi,qian-mu,extends,师承钱穆的思想史路径
fernand-braudel,leopold-von-ranke,refutes,长时段对政治事件史
william-h-mcneill,arnold-joseph-toynbee,refutes,文明互动修正兴衰循环论
david-christian,william-h-mcneill,extends,大历史延伸世界史视野
karl-marx,friedrich-hegel,refutes,唯物史观颠倒辩证法
herbert-marcuse,karl-marx,extends,法兰克福学派批判理论
axel-honneth,herbert-marcuse,extends,第三代批判理论转向承认
pierre-bourdieu,karl-marx,extends,资本概念扩展到文化与惯习
paulo-freire,karl-marx,extends,被压迫者教育学的马克思渊源
carl-von-clausewitz,sun-wu,refutes,歼灭战逻辑对不战而屈人之兵
giulio-douhet,alfred-thayer-mahan,extends,制空权承接制海权范式
william-lendrum-mitchell,giulio-douhet,extends,空权论的美国实践
kevin-kelly,marshall-mcluhan,extends,技术体是媒介的延伸
karl-marx,adam-smith,refutes,剩余价值批判古典政治经济学
max-weber,karl-marx,refutes,新教伦理——观念亦塑造经济
john-maynard-keynes,adam-smith,refutes,有形之手对自发秩序
friedrich-hayek,john-maynard-keynes,refutes,与凯恩斯的世纪论战
milton-friedman,friedrich-hayek,extends,货币主义接续自由市场传统
john-stuart-mill,jeremy-bentham,extends,修正功利主义
john-rawls,john-stuart-mill,refutes,正义论批判功利主义
robert-nozick,john-rawls,refutes,最小国家对分配正义
michael-j-sandel,john-rawls,refutes,社群主义批判无拘束的自我
michel-foucault,karl-marx,refutes,微观权力对阶级分析
samuel-p-huntington,francis-fukuyama,refutes,文明冲突对历史终结
francis-fukuyama,friedrich-hegel,extends,历史终结论的黑格尔渊源
emile-durkheim,adam-smith,refutes,社会分工并非源于交换本能
peter-drucker,frederick-winslow-taylor,extends,从科学管理到知识工作者
henry-mintzberg,henri-fayol,refutes,管理者的真实工作对职能教条
warren-buffett,benjamin-graham,extends,价值投资的师承
george-soros,karl-popper,extends,反身性源自开放社会
philip-kotler,peter-drucker,extends,营销即企业的基本职能
james-g-march,herbert-simon,extends,组织决策的有限理性
lev-vygotsky,jean-piaget,refutes,社会文化先于个体建构
alison-gopnik,jean-piaget,refutes,婴儿远比皮亚杰以为的聪明
mary-d-salter-ainsworth,john-bowlby,extends,陌生情境实验验证依恋理论
michael-tomasello,lev-vygotsky,extends,共享意向性承接社会文化论
erik-h-erikson,sigmund-freud,extends,心理社会阶段扩展发展理论
salvador-minuchin,gregory-bateson,extends,家庭治疗的系统论源头
virginia-satir,gregory-bateson,extends,联合家庭治疗与帕洛阿托学派
lawrence-kohlberg,jean-piaget,extends,道德发展阶段承接认知发展
b-f-skinner,sigmund-freud,refutes,行为主义拒斥无意识内省
noam-chomsky,b-f-skinner,refutes,对言语行为的批判终结行为主义
steven-pinker,noam-chomsky,extends,语言本能普及先天论
albert-bandura,b-f-skinner,refutes,社会学习突破强化决定论
daniel-kahneman,herbert-simon,extends,从有限理性到启发式与偏差
gerd-gigerenzer,daniel-kahneman,refutes,生态理性为启发式正名
george-lakoff,noam-chomsky,refutes,隐喻认知对句法自治
eric-r-kandel,sigmund-freud,extends,从精神分析走向记忆神经科学
rene-girard,sigmund-freud,refutes,模仿欲望对俄狄浦斯情结
noam-chomsky,ferdinand-de-saussure,refutes,生成语法对结构主义描写
keith-e-stanovich,daniel-kahneman,extends,双过程理论的系统化
aaron-beck,albert-ellis,extends,认知疗法与理性情绪疗法同源
aaron-beck,sigmund-freud,refutes,认知革命替代精神分析的抑郁观
steven-c-hayes,aaron-beck,extends,第三浪潮的接纳承诺疗法
george-c-williams,charles-darwin,extends,演化视角进入医学
meng-zi,kong-zi,extends,性善论发挥仁学
zhu-xi,meng-zi,extends,道统自任上承思孟
zhu-xi,zhang-zai,extends,理学吸收横渠气论
wang-yang-ming,zhu-xi,refutes,心即理反对析心与理为二
wang-chuan-shan,wang-yang-ming,refutes,气学批判心学空谈
han-yu,hui-neng,refutes,排佛卫道对禅风大盛
carl-gustav-jung,sigmund-freud,refutes,集体无意识与弗洛伊德决裂
bertrand-arthur-william-russell,william-james,refutes,批判实用主义真理观
daniel-c-dennett,william-james,refutes,自然主义解构宗教经验
jonathan-haidt,david-hume,extends,道德直觉——理性是激情之奴
